core=samuraia label=bit53_zero duration=300.0s frames=134
grid=24 levels=6

    t(s)     diff  frame
  lag   68.0s  sim 0.329  n=103 ################
  lag   69.0s  sim 0.318  n=103 ###############
  lag   70.0s  sim 0.310  n=102 ###############
  lag   71.0s  sim 0.312  n=102 ###############
  lag   72.0s  sim 0.311  n=101 ###############
  lag   73.0s  sim 0.292  n=101 ##############
  lag   74.0s  sim 0.290  n=100 ##############
  lag   75.0s  sim 0.285  n=99  ##############
  lag   76.0s  sim 0.282  n=100 ##############
  lag   77.0s  sim 0.276  n=99  #############
  lag   78.0s  sim 0.274  n=99  #############
  lag   79.0s  sim 0.271  n=98  #############
  lag   80.0s  sim 0.276  n=98  #############
  lag   81.0s  sim 0.266  n=97  #############
  lag   82.0s  sim 0.239  n=97  ###########
  lag   83.0s  sim 0.230  n=96  ###########
  lag   84.0s  sim 0.229  n=95  ###########
  lag   85.0s  sim 0.241  n=96  ############
  lag   86.0s  sim 0.248  n=95  ############
  lag   87.0s  sim 0.247  n=95  ############
  lag   88.0s  sim 0.250  n=94  ############
  lag   89.0s  sim 0.238  n=94  ###########
  lag   90.0s  sim 0.233  n=93  ###########
  lag   91.0s  sim 0.249  n=93  ############
  lag   92.0s  sim 0.251  n=92  ############
  lag   93.0s  sim 0.259  n=91  ############
  lag   94.0s  sim 0.267  n=92  #############
  lag   95.0s  sim 0.283  n=91  ##############
  lag   96.0s  sim 0.303  n=91  ###############
  lag   97.0s  sim 0.305  n=90  ###############
  lag   98.0s  sim 0.294  n=90  ##############
  lag   99.0s  sim 0.284  n=89  ##############
  lag  100.0s  sim 0.261  n=89  #############
  lag  101.0s  sim 0.255  n=88  ############
  lag  102.0s  sim 0.280  n=88  ##############
  lag  103.0s  sim 0.287  n=87  ##############
  lag  104.0s  sim 0.283  n=86  ##############
  lag  105.0s  sim 0.283  n=87  ##############
  lag  106.0s  sim 0.284  n=86  ##############
  lag  107.0s  sim 0.310  n=86  ###############
  lag  108.0s  sim 0.307  n=85  ###############
  lag  109.0s  sim 0.297  n=85  ##############
  lag  110.0s  sim 0.285  n=84  ##############
  lag  111.0s  sim 0.316  n=84  ###############
  lag  112.0s  sim 0.327  n=83  ################
  lag  113.0s  sim 0.342  n=83  #################
  lag  114.0s  sim 0.341  n=83  #################
  lag  115.0s  sim 0.345  n=82  #################
  lag  116.0s  sim 0.362  n=82  ##################
  lag  117.0s  sim 0.358  n=81  #################
  lag  118.0s  sim 0.373  n=81  ##################
  lag  119.0s  sim 0.358  n=80  #################
  lag  120.0s  sim 0.373  n=80  ##################
  lag  121.0s  sim 0.408  n=79  ####################
  lag  122.0s  sim 0.533  n=79  ##########################
  lag  123.0s  sim 0.682  n=79  ##################################
  lag  124.0s  sim 0.703  n=77  ###################################
  lag  125.0s  sim 0.558  n=78  ###########################
  lag  126.0s  sim 0.557  n=77  ###########################
  lag  127.0s  sim 0.391  n=77  ###################
  lag  128.0s  sim 0.390  n=76  ###################
  lag  129.0s  sim 0.365  n=76  ##################
  lag  130.0s  sim 0.347  n=75  #################
  lag  131.0s  sim 0.320  n=75  ################
  lag  132.0s  sim 0.322  n=75  ################
  lag  133.0s  sim 0.319  n=73  ###############
  lag  134.0s  sim 0.319  n=74  ###############
  lag  135.0s  sim 0.312  n=73  ###############
  lag  136.0s  sim 0.288  n=73  ##############
  lag  137.0s  sim 0.283  n=72  ##############
  lag  138.0s  sim 0.271  n=72  #############
  lag  139.0s  sim 0.287  n=71  ##############
  lag  140.0s  sim 0.282  n=71  ##############
  lag  141.0s  sim 0.273  n=70  #############
  lag  142.0s  sim 0.294  n=70  ##############
  lag  143.0s  sim 0.278  n=70  #############
  lag  144.0s  sim 0.274  n=69  #############
  lag  145.0s  sim 0.256  n=69  ############
  lag  146.0s  sim 0.256  n=68  ############
  lag  147.0s  sim 0.249  n=68  ############
  lag  148.0s  sim 0.258  n=67  ############
  lag  149.0s  sim 0.269  n=67  #############
  lag  150.0s  sim 0.278  n=66  #############
  lag  151.0s  sim 0.284  n=66  ##############
  lag  152.0s  sim 0.270  n=66  #############
  lag  153.0s  sim 0.263  n=65  #############
  lag  154.0s  sim 0.242  n=65  ############
  lag  155.0s  sim 0.245  n=64  ############
  lag  156.0s  sim 0.258  n=64  ############
  lag  157.0s  sim 0.257  n=63  ############
  lag  158.0s  sim 0.248  n=63  ############
  lag  159.0s  sim 0.258  n=62  ############
  lag  160.0s  sim 0.273  n=62  #############
  lag  161.0s  sim 0.259  n=62  ############
  lag  162.0s  sim 0.269  n=60  #############
  lag  163.0s  sim 0.258  n=61  ############
  lag  164.0s  sim 0.261  n=60  #############
  lag  165.0s  sim 0.267  n=60  #############
  lag  166.0s  sim 0.273  n=59  #############
  lag  167.0s  sim 0.295  n=59  ##############
  lag  168.0s  sim 0.306  n=58  ###############
  lag  169.0s  sim 0.298  n=58  ##############
  lag  170.0s  sim 0.293  n=57  ##############
  lag  171.0s  sim 0.309  n=57  ###############
  lag  172.0s  sim 0.309  n=57  ###############
  lag  173.0s  sim 0.306  n=56  ###############
  lag  174.0s  sim 0.320  n=56  ###############
  lag  175.0s  sim 0.317  n=55  ###############
  lag  176.0s  sim 0.323  n=55  ################
  lag  177.0s  sim 0.319  n=54  ###############
  lag  178.0s  sim 0.315  n=54  ###############
  lag  179.0s  sim 0.317  n=53  ###############
  lag  180.0s  sim 0.320  n=53  ################

BEST LAG: 124.0 s (similarity 0.703)
sample period: 2.26 s mean
